Gene identifier, dN/dS (YN00), M1/M2 test (Codeml), M7/M8 test (Codeml) ,Codeml under diversifying selection,YN00 under diversifying selection
FGSG_03417,0.132877778,1,1,FALSE,FALSE
FGSG_03420,0.117558333,1,1,FALSE,FALSE
FGSG_03421,0.09615,1,1,FALSE,FALSE
FGSG_03422,0.0558,1,1,FALSE,FALSE
FGSG_03426,0.085197222,1,1,FALSE,FALSE
FGSG_03427,0.034597222,1,1,FALSE,FALSE
FGSG_03428,0.162958333,1,1,FALSE,FALSE
FGSG_03430,0.029311111,1,1,FALSE,FALSE
FGSG_03431,0.107219048,1,1,FALSE,FALSE
FGSG_03432,0.115038889,1,1,FALSE,FALSE
FGSG_03434,0.338293333,1,1,FALSE,FALSE
FGSG_03435,0.104217857,1,1,FALSE,FALSE
FGSG_03436,0.120786111,1,1,FALSE,FALSE
FGSG_03437,0.56673,0.337542112,1,FALSE,FALSE
FGSG_03438,0.066364286,1,1,FALSE,FALSE
FGSG_03439,0.042696429,1,1,FALSE,FALSE
FGSG_03442,0.1749,1,1,FALSE,FALSE
FGSG_03443,0.074664286,1,1,FALSE,FALSE
FGSG_03444,0.1264,1,1,FALSE,FALSE
FGSG_03445,0.1758,0.999993,1,FALSE,FALSE
FGSG_03446,0.349389286,1,1,FALSE,FALSE
FGSG_03447,0.086483333,1,1,FALSE,FALSE
FGSG_03448,0.062741667,1,1,FALSE,FALSE
FGSG_03451,0.104844444,1,1,FALSE,FALSE
FGSG_03452,0.068422222,1,1,FALSE,FALSE
FGSG_03453,0.19505,1,1,FALSE,FALSE
FGSG_03454,0.082555556,1,1,FALSE,FALSE
FGSG_03455,0.059208333,1,1,FALSE,FALSE
FGSG_03456,0.084296429,1,1,FALSE,FALSE
FGSG_03457,0.092236111,1,1,FALSE,FALSE
FGSG_03460,0.061680556,1,1,FALSE,FALSE
FGSG_03462,0.044552778,1,1,FALSE,FALSE
FGSG_03463,0.112455556,1,1,FALSE,FALSE
FGSG_03466,0.025614286,1,1,FALSE,FALSE
FGSG_03467,0.069416667,1,1,FALSE,FALSE
FGSG_03473,0.1318,1,1,FALSE,FALSE
FGSG_03475,0.094769444,1,1,FALSE,FALSE
FGSG_03476,0.097332143,1,1,FALSE,FALSE
FGSG_03477,0.062080556,1,1,FALSE,FALSE
FGSG_03479,0.265574242,1,1,FALSE,FALSE
FGSG_03481,0.119677778,1,1,FALSE,FALSE
FGSG_03482,0.136702778,1,1,FALSE,FALSE
FGSG_03483,0.043141667,1,1,FALSE,FALSE
FGSG_03484,0.111013889,0.865658318,1,FALSE,FALSE
FGSG_03485,0.144114286,1,1,FALSE,FALSE
FGSG_03486,0.204832143,1,1,FALSE,FALSE
FGSG_03489,0.1394,1,1,FALSE,FALSE
FGSG_03491,0.745,Not calculated,Not calculated,FALSE,FALSE
FGSG_03492,0.542066667,1,1,FALSE,FALSE
FGSG_03493,0.428416667,0.700584705,1,FALSE,FALSE
FGSG_03494,0.132913889,1,1,FALSE,FALSE
FGSG_03495,0.309672222,1,1,FALSE,FALSE
FGSG_03496,0.5416,Not calculated,Not calculated,FALSE,FALSE
FGSG_03497,0.057777778,1,1,FALSE,FALSE
FGSG_03498,0.082267857,1,1,FALSE,FALSE
FGSG_03499,0.26686,1,1,FALSE,FALSE
FGSG_03500,0.12275,1,1,FALSE,FALSE
FGSG_03502,0.062914286,1,1,FALSE,FALSE
FGSG_03504,0.143508333,1,1,FALSE,FALSE
FGSG_03505,0.071544444,1,1,FALSE,FALSE
FGSG_03507,0.140883333,1,1,FALSE,FALSE
FGSG_03508,0.134714286,1,1,FALSE,FALSE
FGSG_03509,0.098416667,1,1,FALSE,FALSE
FGSG_03510,0.036208333,0.120404906,1,FALSE,FALSE
FGSG_03511,0.060761111,1,1,FALSE,FALSE
FGSG_03513,0.054752778,1,1,FALSE,FALSE
FGSG_03514,0.183746429,1,1,FALSE,FALSE
FGSG_03516,0.041541667,1,1,FALSE,FALSE
FGSG_03517,0.099422222,1,1,FALSE,FALSE
FGSG_03518,0.122419048,0.096661702,1,FALSE,FALSE
FGSG_03519,0.468092857,1,1,FALSE,FALSE
FGSG_03520,0.111841667,1,1,FALSE,FALSE
FGSG_03521,0.115708333,1,1,FALSE,FALSE
FGSG_03522,0.137094444,1,1,FALSE,FALSE
FGSG_03523,0.093722222,1,1,FALSE,FALSE
FGSG_03524,0.059280556,1,1,FALSE,FALSE
FGSG_03525,0.070908333,1,1,FALSE,FALSE
FGSG_03526,0.039219444,1,1,FALSE,FALSE
FGSG_03527,0.202393333,1,1,FALSE,FALSE
FGSG_03528,0.20943,1,1,FALSE,FALSE
FGSG_03529,0.055517857,1,1,FALSE,FALSE
FGSG_03530,0.067155556,1,1,FALSE,FALSE
FGSG_03531,0.079594444,1,1,FALSE,FALSE
FGSG_03532,0.328683333,0.571790279,1,FALSE,FALSE
FGSG_03534,0.1412,1,1,FALSE,FALSE
FGSG_03535,0.140316667,0.566992048,1,FALSE,FALSE
FGSG_03537,0.052033333,1,1,FALSE,FALSE
FGSG_03538,0.145633333,1,1,FALSE,FALSE
FGSG_03540,0.212230909,1,1,FALSE,FALSE
FGSG_03541,0.22882,1,1,FALSE,FALSE
FGSG_03542,0.4769,Not calculated,Not calculated,FALSE,FALSE
FGSG_03543,0.206878182,1,1,FALSE,FALSE
FGSG_03544,0.083325,1,1,FALSE,FALSE
FGSG_03545,0.077209524,1,1,FALSE,FALSE
FGSG_03546,0.244933333,1,1,FALSE,FALSE
FGSG_03547,0.089680556,1,1,FALSE,FALSE
FGSG_03548,0.040322222,1,1,FALSE,FALSE
FGSG_03549,0.275385714,1,1,FALSE,FALSE
FGSG_03550,0.310633333,0.01311198,0.004774744,TRUE,FALSE
FGSG_03552,0.231014286,1,1,FALSE,FALSE
FGSG_03553,0.087646429,1,1,FALSE,FALSE
FGSG_03554,0.10996,1,1,FALSE,FALSE
FGSG_03556,0.270460714,1,1,FALSE,FALSE
FGSG_03557,0.079147222,1,1,FALSE,FALSE
FGSG_03559,0.217886111,1,1,FALSE,FALSE
FGSG_03562,0.078197222,1,1,FALSE,FALSE
FGSG_03563,0.054975,1,1,FALSE,FALSE
FGSG_03564,0.217372222,1,1,FALSE,FALSE
FGSG_03565,0.095280556,1,1,FALSE,FALSE
FGSG_03567,0.064867857,1,1,FALSE,FALSE
FGSG_03568,0.063653571,1,1,FALSE,FALSE
FGSG_03569,0.048811111,1,1,FALSE,FALSE
FGSG_03570,0.058677778,1,1,FALSE,FALSE
FGSG_03573,0.387766667,0.27997863,1,FALSE,FALSE
FGSG_03574,0.300672222,1,1,FALSE,FALSE
FGSG_03575,0.08905,1,1,FALSE,FALSE
FGSG_03577,0.067147222,1,1,FALSE,FALSE
FGSG_03579,0.075946429,1,1,FALSE,FALSE
FGSG_03580,0.175361111,1,1,FALSE,FALSE
FGSG_03581,0.097783333,1,1,FALSE,FALSE
FGSG_03582,0.060194444,1,1,FALSE,FALSE
FGSG_03583,0.171980556,1,1,FALSE,FALSE
FGSG_03584,0.052891667,1,1,FALSE,FALSE
FGSG_03585,0.182697222,1,1,FALSE,FALSE
FGSG_03586,0.090916667,1,1,FALSE,FALSE
FGSG_03587,0.205457143,1,1,FALSE,FALSE
FGSG_03588,0.135635714,1,1,FALSE,FALSE
FGSG_03589,0.089205556,1,1,FALSE,FALSE
FGSG_03590,0.039597222,1,1,FALSE,FALSE
FGSG_03591,0.040116667,1,1,FALSE,FALSE
FGSG_03592,0.091886111,1,1,FALSE,FALSE
FGSG_03593,0.059585714,1,1,FALSE,FALSE
FGSG_03594,0.099269444,1,1,FALSE,FALSE
FGSG_03595,0.327209524,0.548491224,1,FALSE,FALSE
FGSG_03596,0.1946,Not calculated,Not calculated,FALSE,FALSE
FGSG_03597,0.042733333,1,1,FALSE,FALSE
FGSG_03598,0.028638889,1,1,FALSE,FALSE
FGSG_03599,0.150663889,0.90920017,1,FALSE,FALSE
FGSG_03600,0.0587,0.308073774,1,FALSE,FALSE
FGSG_03601,0.100441667,1,1,FALSE,FALSE
FGSG_03603,0.334583333,1,1,FALSE,FALSE
FGSG_03605,0.053903571,1,1,FALSE,FALSE
FGSG_03607,0.076125,1,1,FALSE,FALSE
FGSG_03609,0.062397222,1,1,FALSE,FALSE
FGSG_03610,0.086225,1,1,FALSE,FALSE
FGSG_03611,0.049977778,1,1,FALSE,FALSE
FGSG_03612,0.083708333,1,1,FALSE,FALSE
FGSG_03613,0.101569444,1,1,FALSE,FALSE
FGSG_03614,0.044447222,1,1,FALSE,FALSE
FGSG_03615,0.1345,1,1,FALSE,FALSE
FGSG_03616,0.113461905,1,1,FALSE,FALSE
FGSG_03619,0.086253333,1,1,FALSE,FALSE
FGSG_03620,0.120126667,1,1,FALSE,FALSE
FGSG_03621,0.660433333,0.907115041,1,FALSE,FALSE
FGSG_03624,0.080341667,0.843470796,1,FALSE,FALSE
FGSG_03626,0.0524,1,1,FALSE,FALSE
FGSG_03628,0.075116667,1,1,FALSE,FALSE
FGSG_03629,0.054236111,1,1,FALSE,FALSE
FGSG_03630,0.120763889,1,1,FALSE,FALSE
FGSG_03631,0.230244444,1,1,FALSE,FALSE
FGSG_03632,0.137663889,1,1,FALSE,FALSE
FGSG_03633,0.121351111,1,1,FALSE,FALSE
FGSG_03636,0.041928571,1,1,FALSE,FALSE
FGSG_03637,0.055580952,1,1,FALSE,FALSE
FGSG_03638,0.057216667,1,1,FALSE,FALSE
FGSG_03639,0.083241667,1,1,FALSE,FALSE
FGSG_03640,0.21782381,1,1,FALSE,FALSE
FGSG_03641,0.217785714,1,1,FALSE,FALSE
FGSG_03642,0.075691667,1,1,FALSE,FALSE
FGSG_03643,0.080438889,1,1,FALSE,FALSE
FGSG_03644,0.135263889,1,1,FALSE,FALSE
FGSG_03645,0.037691667,1,1,FALSE,FALSE
FGSG_03646,0.076853333,1,1,FALSE,FALSE
FGSG_03647,0.061919444,1,1,FALSE,FALSE
FGSG_03648,0.032480556,1,1,FALSE,FALSE
FGSG_03650,0.140018182,1,1,FALSE,FALSE
FGSG_03651,0.118825,1,1,FALSE,FALSE
FGSG_03652,0.054988889,1,1,FALSE,FALSE
FGSG_03653,0.18295,1,1,FALSE,FALSE
FGSG_03654,0.160566667,1,1,FALSE,FALSE
FGSG_03655,0.018925,1,1,FALSE,FALSE
FGSG_03656,0.125675,1,1,FALSE,FALSE
FGSG_03657,0.068727778,1,1,FALSE,FALSE
FGSG_03658,0.198003636,1,1,FALSE,FALSE
FGSG_03659,0.196611029,1,1,FALSE,FALSE
FGSG_03661,0.31386,0.998963537,1,FALSE,FALSE
FGSG_03662,0.143602778,1,1,FALSE,FALSE
FGSG_03664,0.077405556,1,1,FALSE,FALSE
FGSG_03666,0.076022222,1,1,FALSE,FALSE
FGSG_03667,0.043938889,1,1,FALSE,FALSE
FGSG_03668,0.050183333,1,1,FALSE,FALSE
FGSG_03669,0.148088889,1,1,FALSE,FALSE
FGSG_03671,0.23417,1,1,FALSE,FALSE
FGSG_03672,0.143133333,1,1,FALSE,FALSE
FGSG_03673,0.136007143,1,1,FALSE,FALSE
FGSG_03674,0.063963889,1,1,FALSE,FALSE
FGSG_03675,0.036602778,1,1,FALSE,FALSE
FGSG_03676,0.082152778,1,1,FALSE,FALSE
FGSG_03678,0.13005,1,1,FALSE,FALSE
FGSG_03679,0.095180556,1,1,FALSE,FALSE
FGSG_03680,0.06116,1,1,FALSE,FALSE
FGSG_03681,0.407938889,1,1,FALSE,FALSE
FGSG_03682,0.187321429,1,1,FALSE,FALSE
FGSG_03683,0.182702222,1,1,FALSE,FALSE
FGSG_03685,0.097546429,1,1,FALSE,FALSE
FGSG_03686,0.063705556,1,1,FALSE,FALSE
FGSG_03687,0.072744444,1,1,FALSE,FALSE
FGSG_03688,0.062544444,1,1,FALSE,FALSE
FGSG_03689,0.16448,1,1,FALSE,FALSE
FGSG_03690,0.261242857,1,1,FALSE,FALSE
FGSG_03691,0.17748,1,1,FALSE,FALSE
FGSG_03692,0.21205,1,1,FALSE,FALSE
FGSG_03693,0.23872,0.331426902,1,FALSE,FALSE
FGSG_03694,0.124577778,1,1,FALSE,FALSE
FGSG_03695,0.076002778,0.9861291,1,FALSE,FALSE
FGSG_03696,0.050077778,1,1,FALSE,FALSE
FGSG_03698,0.146595238,1,1,FALSE,FALSE
FGSG_03699,0.123463889,1,1,FALSE,FALSE
FGSG_03700,0.068602778,1,1,FALSE,FALSE
FGSG_03701,0.7868,Not calculated,Not calculated,FALSE,FALSE
FGSG_03702,0.15225,1,1,FALSE,FALSE
FGSG_03703,0.106928571,1,1,FALSE,FALSE
FGSG_03704,1.0464,Not calculated,Not calculated,FALSE,TRUE
FGSG_03706,0.080497222,1,1,FALSE,FALSE
FGSG_03708,0.062738889,1,1,FALSE,FALSE
FGSG_03710,0.0461,1,1,FALSE,FALSE
FGSG_03713,0.064408333,1,1,FALSE,FALSE
FGSG_03714,0.1869,1,1,FALSE,FALSE
FGSG_03715,0.128497222,1,1,FALSE,FALSE
FGSG_03716,0.073341667,1,1,FALSE,FALSE
FGSG_03717,0.145085714,1,1,FALSE,FALSE
FGSG_03718,0.379646429,1,1,FALSE,FALSE
FGSG_03719,0.25545,1,1,FALSE,FALSE
FGSG_03723,0.257083333,1,1,FALSE,FALSE
FGSG_03724,0.239233333,1,1,FALSE,FALSE
FGSG_03725,0.052525,1,1,FALSE,FALSE
FGSG_03727,0.048446429,1,1,FALSE,FALSE
FGSG_03728,0.032188889,1,1,FALSE,FALSE
FGSG_03729,0.066544444,1,1,FALSE,FALSE
FGSG_03730,0.043705556,1,1,FALSE,FALSE
FGSG_03731,0.041330556,1,1,FALSE,FALSE
FGSG_03732,0.069239286,1,1,FALSE,FALSE
FGSG_03734,0.080913889,1,1,FALSE,FALSE
FGSG_03735.2,0.175489286,1,1,FALSE,FALSE
FGSG_03737,0.082119444,1,1,FALSE,FALSE
FGSG_03738,0.102178571,1,1,FALSE,FALSE
FGSG_03739,0.206185714,1,1,FALSE,FALSE
FGSG_03741,0.044516667,1,1,FALSE,FALSE
FGSG_03742,0.098072222,1,1,FALSE,FALSE
FGSG_03744,0.049697222,1,1,FALSE,FALSE
FGSG_03745,0.054264286,1,1,FALSE,FALSE
FGSG_03748,0.094244444,1,1,FALSE,FALSE
FGSG_03749,0.037411111,1,1,FALSE,FALSE
FGSG_03750,0.355014286,1,1,FALSE,FALSE
FGSG_03751,0.074661111,1,1,FALSE,FALSE
FGSG_03752,0.134017857,1,1,FALSE,FALSE
FGSG_03754,0.068311111,1,1,FALSE,FALSE
FGSG_03755,0.036177778,1,1,FALSE,FALSE
FGSG_03757,0.7655,1,1,FALSE,FALSE
FGSG_03758,0.20933,1,1,FALSE,FALSE
FGSG_03759,0.058296429,1,1,FALSE,FALSE
FGSG_03760,0.063394444,1,1,FALSE,FALSE
FGSG_03761,0.068030556,1,1,FALSE,FALSE
FGSG_03762,0.063911111,1,1,FALSE,FALSE
FGSG_03763,0.560533333,1,1,FALSE,FALSE
FGSG_03765,0.2317,0.843971123,1,FALSE,FALSE
FGSG_03766,0.3831,Not calculated,Not calculated,FALSE,FALSE
FGSG_03767,0.017452778,1,1,FALSE,FALSE
FGSG_03768,0.09996,1,1,FALSE,FALSE
FGSG_03769,0.061869444,1,1,FALSE,FALSE
FGSG_03770,0.065611111,1,1,FALSE,FALSE
FGSG_03771,0.038102778,1,1,FALSE,FALSE
FGSG_03772,0.050088889,1,1,FALSE,FALSE
FGSG_03774,0.04935,1,1,FALSE,FALSE
FGSG_03775,0.118844444,1,1,FALSE,FALSE
FGSG_03777,0.144132143,1,1,FALSE,FALSE
FGSG_03778,0.037938889,1,1,FALSE,FALSE
FGSG_03779,0.078108333,1,1,FALSE,FALSE
FGSG_03780,0.071380556,1,1,FALSE,FALSE
FGSG_03781,0.167978571,1,1,FALSE,FALSE
FGSG_03783,0.063172222,1,1,FALSE,FALSE
FGSG_03784,0.123,1,1,FALSE,FALSE
FGSG_03785,0.131611111,1,1,FALSE,FALSE
FGSG_03786,0.130880556,1,1,FALSE,FALSE
FGSG_03788,0.057611111,1,1,FALSE,FALSE
FGSG_03789,0.562657143,1,1,FALSE,FALSE
FGSG_03790,0.147831111,1,1,FALSE,FALSE
FGSG_03792,0.232016667,1,1,FALSE,FALSE
FGSG_03793,0.7185,Not calculated,Not calculated,FALSE,FALSE
FGSG_03794,0.4731,Not calculated,Not calculated,FALSE,FALSE
FGSG_03795,0.062583333,1,1,FALSE,FALSE
FGSG_03796,0.1318,1,1,FALSE,FALSE
FGSG_03797,0.158663889,1,1,FALSE,FALSE
FGSG_03798,0.177752381,1,1,FALSE,FALSE
FGSG_03800,0.087011111,1,1,FALSE,FALSE
FGSG_03801,0.060535714,1,1,FALSE,FALSE
FGSG_03802,0.049266667,1,1,FALSE,FALSE
FGSG_03803,0.06514,1,1,FALSE,FALSE
FGSG_03804,0.023372222,1,1,FALSE,FALSE
FGSG_03806,0.4071,1,1,FALSE,FALSE
FGSG_03807,0.215582857,1,1,FALSE,FALSE
FGSG_03808,0.181055556,1,1,FALSE,FALSE
FGSG_03811,0.19595,1,1,FALSE,FALSE
FGSG_03812,0.126810714,1,1,FALSE,FALSE
FGSG_03813,0.070630556,1,1,FALSE,FALSE
FGSG_03814,0.0359,1,1,FALSE,FALSE
FGSG_03815,0.313142857,1,1,FALSE,FALSE
FGSG_03816,0.033894444,1,1,FALSE,FALSE
FGSG_03817,0.058822222,1,1,FALSE,FALSE
FGSG_03818,0.125235556,1,1,FALSE,FALSE
FGSG_03819,0.071233333,1,1,FALSE,FALSE
FGSG_03820,0.063683333,1,1,FALSE,FALSE
FGSG_03822,0.130685714,1,1,FALSE,FALSE
FGSG_03824,0.167638889,1,1,FALSE,FALSE
FGSG_03825,0.10145,1,1,FALSE,FALSE
FGSG_03826,0.17212,1,1,FALSE,FALSE
FGSG_03827,0.2648,0.747728003,1,FALSE,FALSE
FGSG_03828,0.151547222,1,1,FALSE,FALSE
FGSG_03829,0.091658333,1,1,FALSE,FALSE
FGSG_03831,0.045358333,1,1,FALSE,FALSE
FGSG_03832,0.192646429,1,1,FALSE,FALSE
FGSG_03833,0.182716667,1,1,FALSE,FALSE
FGSG_03834,0.113506667,1,1,FALSE,FALSE
FGSG_03835,0.072344444,1,1,FALSE,FALSE
FGSG_03836,0.035355556,1,1,FALSE,FALSE
FGSG_03838,0.086530556,1,1,FALSE,FALSE
FGSG_03839,0.091683333,1,1,FALSE,FALSE
FGSG_03840,0.125430556,1,1,FALSE,FALSE
FGSG_03842,0.037266667,1,1,FALSE,FALSE
FGSG_03844,0.071532143,1,1,FALSE,FALSE
FGSG_03846,0.105746429,1,1,FALSE,FALSE
FGSG_03847,0.025527778,1,1,FALSE,FALSE
FGSG_03848,0.242533333,1,1,FALSE,FALSE
FGSG_03849,0.1155,1,1,FALSE,FALSE
FGSG_03851,0.123502778,1,1,FALSE,FALSE
FGSG_03853,0.146891667,1,1,FALSE,FALSE
FGSG_03854,0.195863889,1,1,FALSE,FALSE
FGSG_03856,0.060063889,1,1,FALSE,FALSE
FGSG_03857,0.095517857,1,1,FALSE,FALSE
FGSG_03858,0.063577778,1,1,FALSE,FALSE
FGSG_03859,0.987366667,5.50E-08,4.44E-08,TRUE,FALSE
FGSG_03860,0.119071429,1,1,FALSE,FALSE
FGSG_03861,0.204138889,1,1,FALSE,FALSE
FGSG_03862,0.076416667,1,1,FALSE,FALSE
FGSG_03865,0.128957143,1,1,FALSE,FALSE
FGSG_03866,0.295333333,1,1,FALSE,FALSE
FGSG_03867,0.11854,1,1,FALSE,FALSE
FGSG_03868,0.6683,Not calculated,Not calculated,FALSE,FALSE
FGSG_03869,0.101877778,1,1,FALSE,FALSE
FGSG_03871,0.169264286,1,1,FALSE,FALSE
FGSG_03872,0.050675,1,1,FALSE,FALSE
FGSG_03874,0.106826667,1,1,FALSE,FALSE
FGSG_03878,0.257352381,1,1,FALSE,FALSE
FGSG_03879,0.054852381,1,1,FALSE,FALSE
FGSG_03880,0.061257143,1,1,FALSE,FALSE
FGSG_03881,0.17785,1,1,FALSE,FALSE
FGSG_03882,0.062839286,1,1,FALSE,FALSE
FGSG_03883,0.209440833,1,1,FALSE,FALSE
FGSG_03884,0.202316667,0.659260188,1,FALSE,FALSE
FGSG_03886,0.0812,0.923317608,1,FALSE,FALSE
FGSG_03887,0.065225,1,1,FALSE,FALSE
FGSG_03888,0.076542857,0.999999,1,FALSE,FALSE
FGSG_03890,0.054525,1,1,FALSE,FALSE
FGSG_03892,0.1168,1,1,FALSE,FALSE
FGSG_03893,0.149644444,1,1,FALSE,FALSE
FGSG_03894,0.06931,2.69E-05,7.57E-06,TRUE,FALSE
FGSG_03896,0.088716667,1,1,FALSE,FALSE
FGSG_03897,0.151984848,1,1,FALSE,FALSE
FGSG_03898,0.262955556,1,1,FALSE,FALSE
FGSG_03899,0.157663889,1,1,FALSE,FALSE
FGSG_03900,0.105233333,1,1,FALSE,FALSE
FGSG_03901,0.0992,0.314631552,1,FALSE,FALSE
FGSG_03902,0.085063889,1,1,FALSE,FALSE
FGSG_03903,0.125527778,1,1,FALSE,FALSE
FGSG_03904,0.091502778,0.953060399,1,FALSE,FALSE
FGSG_03905,0.057763889,1,1,FALSE,FALSE
FGSG_03906,0.0873,1,1,FALSE,FALSE
FGSG_03907,0.300322222,1,1,FALSE,FALSE
FGSG_03908,0.038763889,1,1,FALSE,FALSE
FGSG_03909,0.018817857,1,1,FALSE,FALSE
FGSG_03911,0.054025,1,1,FALSE,FALSE
FGSG_03912,0.052083333,1,1,FALSE,FALSE
FGSG_03913,0.150370588,1,1,FALSE,FALSE
FGSG_03914,0.042366667,1,1,FALSE,FALSE
FGSG_03915,0.050247222,1,1,FALSE,FALSE
FGSG_03916,0.043847222,1,1,FALSE,FALSE
FGSG_03917,0.056691667,1,1,FALSE,FALSE
FGSG_03918,0.042075,1,1,FALSE,FALSE
FGSG_03919,0.053002778,1,1,FALSE,FALSE
FGSG_03922,0.072557143,1,1,FALSE,FALSE
FGSG_03923,0.106194444,1,1,FALSE,FALSE
FGSG_03924,0.161519048,1,1,FALSE,FALSE
FGSG_03925,0.092747222,1,1,FALSE,FALSE
FGSG_03927,0.170986111,1,1,FALSE,FALSE
FGSG_03928,0.086446429,1,1,FALSE,FALSE
FGSG_03929,0.048927778,1,1,FALSE,FALSE
FGSG_03930,0.090144444,1,1,FALSE,FALSE
FGSG_03931,0.055271429,1,1,FALSE,FALSE
FGSG_03932,0.064927778,1,1,FALSE,FALSE
FGSG_03933,0.067711111,1,1,FALSE,FALSE
FGSG_03935,0.051166667,1,1,FALSE,FALSE
FGSG_03936,0.043917857,1,1,FALSE,FALSE
FGSG_03937,0.0431,Not calculated,Not calculated,FALSE,FALSE
FGSG_03938,0.088497222,1,1,FALSE,FALSE
FGSG_03939,0.414833333,0.980548667,1,FALSE,FALSE
FGSG_03940,0.040455556,1,1,FALSE,FALSE
FGSG_03941,0.042272222,1,1,FALSE,FALSE
FGSG_03942,0.072758333,1,1,FALSE,FALSE
FGSG_03943,0.21225,1,1,FALSE,FALSE
FGSG_03944,0.094678571,1,1,FALSE,FALSE
FGSG_03946,0.216297222,0.219949347,1,FALSE,FALSE
FGSG_03947,0.152547222,1,1,FALSE,FALSE
FGSG_03951,0.037217857,1,1,FALSE,FALSE
FGSG_03952,0.059514286,1,1,FALSE,FALSE
FGSG_03953,0.104938095,1,1,FALSE,FALSE
FGSG_03954,0.077002778,1,1,FALSE,FALSE
FGSG_03958,0.59,Not calculated,Not calculated,FALSE,FALSE
FGSG_03960,0.546926667,0.332516765,1,FALSE,FALSE
FGSG_03962,0.042722222,1,1,FALSE,FALSE
FGSG_03963,0.118427778,1,1,FALSE,FALSE
FGSG_03964,0.2495,0.58627753,1,FALSE,FALSE
FGSG_03965,0.2575,1,1,FALSE,FALSE
FGSG_03966,0.055,1,1,FALSE,FALSE
FGSG_03967,0.137619048,1,1,FALSE,FALSE
FGSG_03968,0.116061111,1,1,FALSE,FALSE
FGSG_03969,0.06902,0.000442043,1.59E-06,TRUE,FALSE
FGSG_03971,0.073175,1,1,FALSE,FALSE
FGSG_03972,0.112847222,1,1,FALSE,FALSE
FGSG_03975,0.069463889,1,1,FALSE,FALSE
FGSG_03976,0.042516667,1,1,FALSE,FALSE
FGSG_03977,0.051575,1,1,FALSE,FALSE
FGSG_03978,0.105355556,1,1,FALSE,FALSE
FGSG_03979,0.032586111,1,1,FALSE,FALSE
FGSG_03980,0.187613889,0.000668077,1.46E-07,TRUE,FALSE
FGSG_03981,0.22379,1,1,FALSE,FALSE
FGSG_03984,0.056691667,1,1,FALSE,FALSE
FGSG_03985,0.045372222,1,1,FALSE,FALSE
FGSG_03986,0.072005556,1,1,FALSE,FALSE
FGSG_03987,0.065772222,1,1,FALSE,FALSE
FGSG_03988,0.125708333,0.450264091,1,FALSE,FALSE
FGSG_03989,0.148605556,1,1,FALSE,FALSE
FGSG_03990,0.127155556,1,1,FALSE,FALSE
FGSG_03991,0.058463889,1,1,FALSE,FALSE
FGSG_03992,0.022032143,1,1,FALSE,FALSE
FGSG_03994,0.166636029,1,1,FALSE,FALSE
FGSG_03996,0.077839286,1,1,FALSE,FALSE
FGSG_03997,0.063013333,1,1,FALSE,FALSE
FGSG_03998,0.093552778,1,1,FALSE,FALSE
FGSG_03999,0.044513889,1,1,FALSE,FALSE
FGSG_04000,0.061039286,1,1,FALSE,FALSE
FGSG_04001,0.08657619,1,1,FALSE,FALSE
FGSG_04002,0.078117857,0.031428473,0.026565311,TRUE,FALSE
FGSG_04003,0.120191667,1,1,FALSE,FALSE
FGSG_04004,0.0393,1,1,FALSE,FALSE
FGSG_04007,0.7796,Not calculated,Not calculated,FALSE,FALSE
FGSG_04008,0.601183333,6.10E-05,6.15E-06,TRUE,FALSE
FGSG_04009,0.320783333,1,1,FALSE,FALSE
FGSG_04011,0.3531,1,1,FALSE,FALSE
FGSG_04012,0.076216667,1,1,FALSE,FALSE
FGSG_04013,0.221533333,1,1,FALSE,FALSE
FGSG_04014,0.098178571,1,1,FALSE,FALSE
FGSG_04015,0.129567857,0.999999,1,FALSE,FALSE
FGSG_04016,0.144592857,1,1,FALSE,FALSE
FGSG_04017,0.20447619,1,1,FALSE,FALSE
FGSG_04018,0.4012,Not calculated,Not calculated,FALSE,FALSE
FGSG_04019,0.219717857,1,1,FALSE,FALSE
FGSG_04020,0.759566667,1,1,FALSE,FALSE
FGSG_04021,0.311897222,1,1,FALSE,FALSE
FGSG_04022,0.040188889,1,1,FALSE,FALSE
FGSG_04023,0.124135714,1,1,FALSE,FALSE
FGSG_04024,0.087709524,1,1,FALSE,FALSE
FGSG_04026,0.12502381,1,1,FALSE,FALSE
FGSG_04028,0.065438889,1,1,FALSE,FALSE
FGSG_04029,0.041653571,1,1,FALSE,FALSE
FGSG_04030,0.067469444,1,1,FALSE,FALSE
FGSG_04031,0.032794444,1,1,FALSE,FALSE
FGSG_04032,0.091907143,0.683686363,1,FALSE,FALSE
FGSG_04033,0.109405556,1,1,FALSE,FALSE
FGSG_04034,0.227933333,0.302714549,1,FALSE,FALSE
FGSG_04035,0.089236111,1,1,FALSE,FALSE
FGSG_04036,0.13252,1,1,FALSE,FALSE
FGSG_04037,0.040238889,0.999868009,1,FALSE,FALSE
FGSG_04038,0.038275,1,1,FALSE,FALSE
FGSG_04039,0.116686111,1,1,FALSE,FALSE
FGSG_04041,0.172716667,1,1,FALSE,FALSE
FGSG_04042,0.054413889,1,1,FALSE,FALSE
FGSG_04043,0.234430556,1,1,FALSE,FALSE
FGSG_04044,0.023730556,1,1,FALSE,FALSE
FGSG_04045,0.048169444,1,1,FALSE,FALSE
